,date,vix
1086,2017-12-20,11
1087,2017-12-19,11
1088,2017-12-18,11
1089,2017-12-15,11
1090,2017-12-14,11
1091,2017-12-13,11
1092,2017-12-12,12
1093,2017-12-11,12
1094,2017-12-08,13
1095,2017-12-07,13
1096,2017-12-06,13
1097,2017-12-05,12
1098,2017-12-04,13
1099,2017-12-01,13
1100,2017-11-30,13
1101,2017-11-29,12
1102,2017-11-28,12
1103,2017-11-27,12
1104,2017-11-24,11
1105,2017-11-23,11
1106,2017-11-22,11
1107,2017-11-21,11
1108,2017-11-20,11
1109,2017-11-17,11
1110,2017-11-16,11
1111,2017-11-15,12
1112,2017-11-14,11
1113,2017-11-13,11
1114,2017-11-10,11
1115,2017-11-09,11
1116,2017-11-08,13
1117,2017-11-07,13
1118,2017-11-06,13
1119,2017-11-03,13
1120,2017-11-02,12
1121,2017-11-01,12
1122,2017-10-31,12
1123,2017-10-30,12
1124,2017-10-27,12
1125,2017-10-26,12
1126,2017-10-25,12
1127,2017-10-24,12
1128,2017-10-23,12
1129,2017-10-20,11
1130,2017-10-19,12
1131,2017-10-18,12
1132,2017-10-17,12
1133,2017-10-16,11
1134,2017-10-13,11
1135,2017-10-12,12
1136,2017-10-11,13
1137,2017-10-10,13
1138,2017-09-29,13
1139,2017-09-28,12
1140,2017-09-27,12
1141,2017-09-26,12
1142,2017-09-25,12
1143,2017-09-22,12
1144,2017-09-21,11
1145,2017-09-20,11
1146,2017-09-19,11
1147,2017-09-18,11
1148,2017-09-15,11
1149,2017-09-14,11
1150,2017-09-13,13
1151,2017-09-12,13
1152,2017-09-11,13
1153,2017-09-08,14
1154,2017-09-07,14
1155,2017-09-06,16
1156,2017-09-05,16
1157,2017-09-04,15
1158,2017-09-01,13
1159,2017-08-31,13
1160,2017-08-30,12
1161,2017-08-29,13
1162,2017-08-28,13
1163,2017-08-25,12
1164,2017-08-24,12
1165,2017-08-23,12
1166,2017-08-22,12
1167,2017-08-21,13
1168,2017-08-18,13
1169,2017-08-17,12
1170,2017-08-16,14
1171,2017-08-14,16
1172,2017-08-11,18
1173,2017-08-10,16
1174,2017-08-09,15
1175,2017-08-08,12
1176,2017-08-07,12
1177,2017-08-04,12
1178,2017-08-03,13
1179,2017-08-02,11
1180,2017-08-01,11
1181,2017-07-31,12
1182,2017-07-28,12
1183,2017-07-27,10
1184,2017-07-26,10
1185,2017-07-25,10
1186,2017-07-24,10
1187,2017-07-21,9
1188,2017-07-20,10
1189,2017-07-19,10
1190,2017-07-18,10
1191,2017-07-17,10
1192,2017-07-14,10
1193,2017-07-13,10
1194,2017-07-12,11
1195,2017-07-11,12
1196,2017-07-10,12
1197,2017-07-07,12
1198,2017-07-06,12
1199,2017-07-05,13
1200,2017-07-04,14
1201,2017-07-03,12
1202,2017-06-30,12
1203,2017-06-29,11
1204,2017-06-28,11
1205,2017-06-27,11
1206,2017-06-26,11
1207,2017-06-23,11
1208,2017-06-22,11
1209,2017-06-21,11
1210,2017-06-20,11
1211,2017-06-19,11
1212,2017-06-16,11
1213,2017-06-15,11
1214,2017-06-14,11
1215,2017-06-13,11
1216,2017-06-12,12
1217,2017-06-09,11
1218,2017-06-08,12
1219,2017-06-07,12
1220,2017-06-05,12
1221,2017-06-02,12
1222,2017-06-01,12
1223,2017-05-31,13
1224,2017-05-30,13
1225,2017-05-29,14
1226,2017-05-26,13
1227,2017-05-25,13
1228,2017-05-24,12
1229,2017-05-23,12
1230,2017-05-22,12
1231,2017-05-19,12
1232,2017-05-18,13
1233,2017-05-17,12
1234,2017-05-16,12
1235,2017-05-15,12
1236,2017-05-12,12
1237,2017-05-11,14
1238,2017-05-10,16
1239,2017-05-08,15
1240,2017-05-04,13
1241,2017-05-02,13
1242,2017-04-28,12
1243,2017-04-27,11
1244,2017-04-26,12
1245,2017-04-25,12
